"TIMESTAMP","power","tclw","tciw","sp","rh","tcc","10u","10v","2t","ssrd","strd","tsr","tp","cs_ghi"
"20120401 01:00",0.754102564102564,0.001966858,0.003608704,94843.625,60.22190857,0.244601131,1.039334297,-2.50303936,294.4484863,2678046.5,1223378.5,2974689,0,717.082397460938
"20120401 02:00",0.555,0.00552449,0.033574812,94757.9375,54.67860413,0.457137644,2.482865334,-2.993330002,295.6513672,2671979,1239402,3038689.5,0,786.698303222656
"20120401 03:00",0.438397435897436,0.03011322,0.132008791,94732.8125,61.29489136,0.77142942,3.339866638,-1.982535362,294.4545898,2252213.5,1237373.5,2691150.5,0.001340866,791.051086425781
"20120401 04:00",0.145448717948718,0.057167053,0.110645294,94704.0625,67.77528381,0.965866208,3.10610199,-1.446050644,293.2614746,1610654.5,1286522,2083191,0.002501488,730.861145019531
"20120401 05:00",0.111987179487179,0.051026557,0.189559937,94675,70.17298889,0.944668651,2.601145744,-1.904493332,292.7329102,977623.5,1318455.5,1433412,0.003331184,611.044738769531
"20120401 06:00",0.0572435897435897,0.036995962,0.0990448,94676.9375,72.3740387,0.641353369,1.333368301,-1.728430748,292.0771484,565747,1272118.5,909892,0.003960133,440.866760253906
"20120401 07:00",0.0887179487179487,0.080911219,0.121322632,94708.0625,81.79873657,0.753142357,1.457922935,-1.034620285,291.0693359,267761.5,1241376,457224,0.004969597,239.693069458008
"20120402 00:00",0.346474358974359,0.074440002,0,94736.125,71.751297,0.9324646,-0.193052292,-0.447573662,290.267334,1608569.5,1341833,2029833,0.006800652,597.4658203125
"20120402 01:00",0.656858974358974,0.112361908,0,94746.8125,69.93354797,0.830276489,0.342458725,-1.522831917,291.6049805,1663035,1330274.5,2161357,0.000191458,732.189331054688
"20120402 02:00",0.771410256410257,0.070106506,0,94678.875,65.64964294,0.685302734,1.115677834,-1.500989914,292.329834,1704977,1363882,2210033,0.000263393,806.453369140625
"20120402 03:00",0.613782051282051,0.067001343,0,94608.375,60.07411194,0.768798828,1.774486542,-1.611888885,293.2460938,1804031,1364747.5,2263052.5,0.000284642,814.669311523438
"20120402 04:00",0.554807692307692,0.058559418,0,94533.6875,54.51229858,0.538909912,2.232107162,-1.731534004,294.0068359,1652697.5,1328982,2064347,0.000296831,756.23388671875
"20120402 05:00",0.458910256410256,0.020584106,0,94505.9375,51.13789368,0.486816406,2.173001289,-1.898820877,294.362793,1466565.5,1286517,1785531.5,0.000296831,635.921142578125
"20120402 06:00",0.198269230769231,0.013029099,0,94503.8125,48.85609436,0.223648071,2.617418289,-1.667720795,294.494873,1080947.5,1217922,1318480.5,0.000296831,463.806732177734
