"TIMESTAMP","power","tclw","tciw","sp","rh","tcc","10u","10v","2t","ssrd","strd","tsr","tp","cs_ghi"
"20120401 01:00",0.647327935222672,0.001478577,0.005443573,94290.625,57.37425232,0.190966487,0.857937813,-2.801623344,294.3933105,2687486.5,1210242.5,2992289,0,717.082397460938
"20120401 02:00",0.621821862348178,0.018303726,0.101552665,94217.6875,57.129776,0.517135203,2.594071388,-2.653242111,294.9624023,2631595,1225782,3022193.5,0,786.698303222656
"20120401 03:00",0.472692307692308,0.035255432,0.112935305,94201.0625,63.07614136,0.705221534,2.881370544,-1.647818565,293.876709,2172373.5,1232317.5,2636942.5,0.001256347,791.051086425781
"20120401 04:00",0.0988663967611336,0.06451416,0.107761383,94156.0625,62.97547913,0.993362546,3.024803162,-1.496831894,293.0712891,1597758.5,1283858,2075127,0.001725674,730.861145019531
"20120401 05:00",0.104392712550607,0.059495185,0.157592773,94124.25,65.05384827,0.937603831,2.521555901,-1.836622238,292.5444336,1004567.5,1308551.5,1460356,0.002093077,611.044738769531
"20120401 06:00",0.0726315789473684,0.049004629,0.097633362,94132.4375,69.30958557,0.724117041,1.072137833,-1.826086998,291.8586426,553843,1265686.5,901764,0.002279043,440.866760253906
"20120401 07:00",0.295607287449393,0.038781747,0.123748779,94162.8125,78.61904907,0.601546288,1.473792076,-1.286085129,290.7595215,256689.5,1232128,445384,0.002907753,239.693069458008
"20120402 00:00",0.256842105263158,0.094696045,0,94185.375,69.06477356,0.962417603,0.045717239,-0.590395927,290.2565918,1532137.5,1321497,1967609,0.003103733,597.4658203125
"20120402 01:00",0.418502024291498,0.118278503,0,94202.0625,71.2323761,0.846054077,0.562185288,-1.897343636,291.1362305,1563003,1338306.5,2083821,0.000224903,732.189331054688
"20120402 02:00",0.675971659919028,0.077297211,0,94131.375,64.99827576,0.704025269,1.269242287,-1.9915905,292.0356445,1719553,1353770,2224065,0.000322506,806.453369140625
"20120402 03:00",0.841032388663968,0.069400787,0,94059.625,58.08387756,0.741073608,1.598827362,-2.110668182,293.0095215,1800511,1343291.5,2267596.5,0.000346646,814.669311523438
"20120402 04:00",0.829838056680162,0.050514221,0,93983.4375,51.5093689,0.518218994,1.745290756,-2.195645332,293.8708496,1675577.5,1314470,2086683,0.000357538,756.23388671875
"20120402 05:00",0.701943319838057,0.01722908,0,93955.6875,47.96992493,0.174438477,1.559475899,-2.339250565,294.2595215,1478981.5,1282085,1790683.5,0.000357538,635.921142578125
"20120402 06:00",0.574736842105263,0.008481979,5.53e-05,93953.0625,45.75257874,0.246749878,1.960435867,-2.188350677,294.3937988,996467.5,1236322,1246096.5,0.000357956,463.806732177734
"20120402 07:00",0.420971659919028,0.000621796,0.002921104,93967.5625,52.02906799,0.899963379,1.268947601,-1.727454185,292.9396973,366608.5,1179932.5,534876,0.000358582,256.931060791016
"20120403 00:00",0.426821862348178,0.006790161,0.002185822,94075.625,69.78338623,0.231292725,-0.10573101,-0.741030693,289.9301758,945349,1288056.5,1457341.5,0.000913203,577.892700195312
"20120403 01:00",0.5767004048583,0.148300171,0.004360199,94163.9375,64.02261353,0.443389893,-0.345542908,-0.359511375,292.1218262,1495480.5,1331049.5,2017415.5,0,707.738098144531
"20120403 02:00",0.529271255060729,0.016773224,0.000396729,94092.8125,59.98193359,0.050476074,-0.009730339,-0.952425003,293.6083984,2244666.5,1308021.5,2657582.5,0,776.990783691406
"20120403 03:00",0.671761133603239,0.009845734,0.000136375,94006,55.02600098,0.084320068,0.351641655,-1.402009964,295.4414062,2581664.5,1270229,2916921,0,781.101318359375
"20120403 04:00",0.72919028340081,0.028755795,0.001830101,93949,51.5125885,0.832275391,0.695166588,-2.254127502,296.6279297,2183181.5,1282942.5,2532092.5,0,720.723815917969
"20120403 05:00",0.681133603238866,0.037942607,0.001178741,93907,50.53144836,0.311592639,0.874494553,-2.707424164,296.8217773,1613134,1291270.5,1952459.5,0,600.826721191406
"20120403 06:00",0.588441295546559,0.015995026,0.000563622,93909.5,50.22850037,0.207217455,1.022223473,-2.699419975,296.6628418,1048308,1273045.5,1321271.5,0,430.826782226562
"20120403 07:00",0.319230769230769,0.007362366,0.003708327,93917.5,55.48881531,0.594623089,0.520190239,-1.946448326,295.3234863,425561,1232363.5,586631.5,0,229.481399536133
"20120404 00:00",0.451902834008097,0.017227173,0.000196919,94236.8125,66.26148987,0.404266357,-1.302639008,-0.514430046,293.8771973,2052502.5,1303396,2410585.5,0,563.591674804688
"20120404 01:00",0.612024291497976,0.015426636,6.1e-05,94206.8125,65.50045776,0.620056152,-1.530544281,-1.265776634,294.8491211,2403711,1334347,2790282.5,0,695.760986328125
"20120404 02:00",0.714473684210526,0.091384888,6.1e-05,94135,60.98872375,0.63482666,-0.616119385,-2.746800423,296.0410156,2439853,1336280,2865402,6.86e-05,768.740112304688
"20120404 03:00",0.633117408906883,0.08531189,1.48e-05,94085.8125,57.75027466,0.519439697,-0.023571014,-2.735348701,296.5585938,2041420,1340839,2510350.5,0.000154436,776.704406738281
"20120404 04:00",0.733076923076923,0.073059082,0,94046.1875,56.48112488,0.54107666,0.227449417,-2.643082619,296.564209,1701675,1369081,2158158.5,0.000171065,718.850708007812
"20120404 05:00",0.644412955465587,0.064826965,0,94041.5625,55.23866272,0.519836426,0.102594376,-2.31550312,296.6806641,1341212.5,1372572,1751149.5,0.000181377,600.044189453125
"20120404 06:00",0.428036437246964,0.057067871,0,94075,57.69178772,0.327728272,-0.581655502,-2.082315445,296.1948242,858063.5,1337747,1178121.5,0.000198394,431.083251953125
"20120404 07:00",0.401153846153846,0.036586761,0,94118.125,64.68179321,0.237991333,-1.555965424,-1.745916367,295.0878906,390726,1273946,564487,0.000200123,230.332122802734
"20120405 00:00",0.0846558704453441,0.002534866,0,94543.625,78.86381531,0.326156616,-1.062750816,-0.117347717,292.670166,1815973,1344920.5,2219407.5,0.0002428,574.535949707031
"20120405 01:00",0.120627530364372,0.115474701,0,94504.3125,68.58166504,0.953765869,-0.879469872,-1.554319382,294.817627,2045534.5,1381061,2490571,0,703.752624511719
"20120405 02:00",0.154068825910931,0.212097168,0,94428.25,61.20187378,0.946624756,-0.162735939,-1.901058197,296.1940918,1657922,1402245,2215203.5,0.000368252,771.783203125
"20120405 03:00",0.218846153846154,0.106697083,0,94367.625,62.02859497,0.829101563,-0.369327545,-1.875397682,295.7570801,1403913,1422252.5,1990731.5,0.000392273,774.812255859375
"20120405 04:00",0.431072874493927,0.045056239,0,94317.25,60.56620789,0.499694824,-0.693808556,-1.775152206,296.3286133,1680048.5,1402040,2137714.5,0.000415653,713.649169921875
"20120405 05:00",0.703380566801619,0.030792959,0,94278.6875,59.98258972,0.357421875,-0.858629227,-1.621894836,296.6513672,1479269,1343131,1837818.5,0.000415653,593.134704589844
"20120405 06:00",0.563380566801619,0.031265259,0,94292,58.62506104,0.373321533,-0.98028183,-1.719635963,296.5009766,948079.5,1312289.5,1224850,0.000415653,422.424774169922
"20120405 07:00",0.309230769230769,0.022346497,0,94329.1875,61.80429077,0.235214233,-0.954591751,-1.450514793,295.5595703,376671.5,1284051.5,543133.5,0.000415504,220.736282348633
"20120406 00:00",0.521234817813765,0.002941132,0,94441.5,74.36354065,0.133972168,-0.622876167,-0.973017693,291.9836426,2053337.5,1240643.5,2394740,0.000468761,564.011840820312
"20120406 01:00",0.621113360323887,0.004014969,0,94371.8125,70.97399902,0.056915283,-0.224294663,-1.787648201,293.8286133,2459052,1259587,2800614,0,693.937194824219
"20120406 02:00",0.541295546558704,0.033071518,0,94283.6875,65.62980652,0.230133057,0.879576683,-2.589385986,295.307373,2403882.5,1305045,2794050,0,764.084411621094
"20120406 03:00",0.789028340080972,0.107192993,0.000545502,94195.9375,60.7147522,0.654510498,2.035438538,-2.919985771,296.0549316,1873201.5,1368906.5,2339643,0.000103883,769.196533203125
"20120406 04:00",0.743562753036437,0.096748352,0.006578445,94132.375,58.75175476,1,2.337892532,-2.886167526,296.1223145,1292137,1364709,1770364,0.000134319,709.585632324219
"20120406 05:00",0.587975708502024,0.066699982,0.004420757,94070.25,58.46321106,0.983612061,2.048825264,-2.753446579,295.8881836,1095269,1363340.5,1479796,0.000135183,590.254943847656
"20120406 06:00",0.43004048582996,0.041211266,0.0024333,94050.8125,57.38771057,0.944547951,2.102437973,-2.79829216,296.0878906,837447.5,1326139,1110858.5,0.000142008,421.093048095703
"20120406 07:00",0.228562753036437,0.029940743,0.001196214,94035.5625,62.09254456,0.822353244,1.237199783,-1.994377136,294.9206543,323555.5,1284667.5,481658.5,0.000142008,220.623474121094
"20120407 00:00",0.516842105263158,0,0,94227.1875,39.91763306,0,-0.571585655,-0.668228328,290.3840332,2392674,1010084.9375,2493538,0.000143886,600.807983398438
"20120407 01:00",0.681558704453441,0,0,94189.5,40.58021545,0,0.79428196,-1.385989189,292.2058105,2752686.5,1039033.5,2864075.5,0,733.489013671875
"20120407 02:00",0.782975708502024,0,0,94146.75,37.18925476,0,0.70731926,-1.867864609,293.3474121,2882205.5,1054202.5625,3006614.5,0,800.351684570312
"20120407 03:00",0.82834008097166,0,0,94108.1875,35.15711975,0,0.723715782,-2.184809685,294.0888672,2769788.5,1063658.5,2910387,0,799.762634277344
"20120407 04:00",0.828441295546559,0,0,94078.6875,34.51290894,0,0.575949669,-2.462331772,294.4277344,2423170.5,1068319.5,2582326,0,735.537780761719
"20120407 05:00",0.76163967611336,0,0,94089.5,35.6085968,0,1.170632362,-3.178472519,294.1806641,1874501.5,1067561,2047173.5,0,613.029846191406
"20120407 06:00",0.625748987854251,0,0,94127.3125,37.65367126,0,1.405422211,-2.890003204,293.2858887,1182035,1056436,1348214,0,439.158081054688
"20120407 07:00",0.412672064777328,0,0,94188.3125,41.7114563,0,0.709862709,-2.203541756,291.6481934,463567,1027730,577788,0,231.552932739258
"20120408 00:00",0.174048582995951,0.17470932,0.013958607,94311.6875,71.09291077,0.998787522,1.700564384,-3.936901093,288.3408203,679337.90625,1352179.5,1251579.5,0.000390142,569.182189941406
"20120408 01:00",0.532995951417004,0.199867249,0.002866745,94169.875,72.58583069,0.995170295,1.199272156,-3.387816429,288.8344727,825698,1362250.5,1459928,0,700.364501953125
"20120408 02:00",0.686032388663968,0.177062988,0,94067.0625,65.33805847,0.965423107,2.205609322,-3.721940994,290.2670898,1018229.59375,1373116,1626135.5,0.000420868,770.789611816406
"20120408 03:00",0.555991902834008,0.108917236,0.000671281,93971.5,60.1648407,0.890235424,2.800738335,-4.184247017,290.7739258,1394772,1343441.5,1882373.5,0.000501633,775.251708984375
